date,category,weight_pct,mom_change_pct,yoy_change_pct
2023-07-01,Food and Non-Alcoholic Beverages,32.9094,-0.5,8.6
2023-07-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,1.2,10.1
2023-07-01,Clothing and Footwear,2.9914,0.3,3.0
2023-07-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-1.2,7.8
2023-07-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,4.1
2023-07-01,Health,2.9116,0.1,2.3
2023-07-01,Transport,9.6468,3.5,13.0
2023-07-01,Information and Communication,7.784,0.1,1.1
2023-07-01,"Recreation, Sport and Culture",1.7219,0.6,5.8
2023-07-01,Education Services,5.562,0.1,2.1
2023-07-01,Restaurants and Accommodation Services,8.0991,0.3,5.0
2023-07-01,Insurance and Financial Services,2.2423,0.0,1.1
2023-07-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.4,7.8
2023-08-01,Food and Non-Alcoholic Beverages,32.9094,-0.5,7.5
2023-08-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.7,10.1
2023-08-01,Clothing and Footwear,2.9914,0.2,2.9
2023-08-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.0,7.5
2023-08-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.4,4.0
2023-08-01,Health,2.9116,0.2,2.3
2023-08-01,Transport,9.6468,0.3,13.1
2023-08-01,Information and Communication,7.784,-0.2,1.0
2023-08-01,"Recreation, Sport and Culture",1.7219,0.1,5.6
2023-08-01,Education Services,5.562,0.0,2.0
2023-08-01,Restaurants and Accommodation Services,8.0991,0.3,4.7
2023-08-01,Insurance and Financial Services,2.2423,0.4,1.4
2023-08-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.4,7.4
2023-09-01,Food and Non-Alcoholic Beverages,32.9094,0.7,7.9
2023-09-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.8,10.4
2023-09-01,Clothing and Footwear,2.9914,0.3,3.1
2023-09-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,1.4,6.3
2023-09-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.5,4.0
2023-09-01,Health,2.9116,0.4,2.5
2023-09-01,Transport,9.6468,3.5,13.0
2023-09-01,Information and Communication,7.784,0.2,1.1
2023-09-01,"Recreation, Sport and Culture",1.7219,0.3,5.5
2023-09-01,Education Services,5.562,0.2,2.1
2023-09-01,Restaurants and Accommodation Services,8.0991,0.4,4.8
2023-09-01,Insurance and Financial Services,2.2423,0.0,1.4
2023-09-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.5,7.2
2023-10-01,Food and Non-Alcoholic Beverages,32.9094,1.3,7.8
2023-10-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.7,9.0
2023-10-01,Clothing and Footwear,2.9914,0.3,3.2
2023-10-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,1.9,7.8
2023-10-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.1,3.6
2023-10-01,Health,2.9116,0.1,2.5
2023-10-01,Transport,9.6468,1.5,13.6
2023-10-01,Information and Communication,7.784,0.1,1.0
2023-10-01,"Recreation, Sport and Culture",1.7219,0.2,5.2
2023-10-01,Education Services,5.562,0.0,2.1
2023-10-01,Restaurants and Accommodation Services,8.0991,0.3,4.5
2023-10-01,Insurance and Financial Services,2.2423,0.0,1.4
2023-10-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.5,6.9
2023-11-01,Food and Non-Alcoholic Beverages,32.9094,0.4,7.6
2023-11-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.2,8.1
2023-11-01,Clothing and Footwear,2.9914,0.5,3.2
2023-11-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.2,8.5
