file,month,year,used_ocr,low_confidence_flag,categories_found,annual_inflation_pct,monthly_inflation_pct,cpi_from,cpi_to,Food_weight,Food_mom_pct,Food_yoy_pct,Alcoholic_Beverages_weight,Alcoholic_Beverages_mom_pct,Alcoholic_Beverages_yoy_pct,Clothing_weight,Clothing_mom_pct,Clothing_yoy_pct,Housing_weight,Housing_mom_pct,Housing_yoy_pct,Furnishings_weight,Furnishings_mom_pct,Furnishings_yoy_pct,Health_weight,Health_mom_pct,Health_yoy_pct,Transport_weight,Transport_mom_pct,Transport_yoy_pct,Information_weight,Information_mom_pct,Information_yoy_pct,Recreation_weight,Recreation_mom_pct,Recreation_yoy_pct,Education_Services_weight,Education_Services_mom_pct,Education_Services_yoy_pct,Restaurants_weight,Restaurants_mom_pct,Restaurants_yoy_pct,Insurance_weight,Insurance_mom_pct,Insurance_yoy_pct,Personal_Care_weight,Personal_Care_mom_pct,Personal_Care_yoy_pct,month_num,date
Kenya-Consumer-Price-Indices-and-Inflation-Rates-July-2023.pdf,July,2023,False,False,13,7.3,,,134.15,32.9094,-0.5,8.6,3.3289,1.2,10.1,2.9914,0.3,3.0,14.6124,-1.2,7.8,3.7372,0.2,4.1,2.9116,0.1,2.3,9.6468,3.5,13.0,7.784,0.1,1.1,1.7219,0.6,5.8,5.562,0.1,2.1,8.0991,0.3,5.0,2.2423,0.0,1.1,4.4532,0.4,7.8,7,2023-07-01
Kenya-Consumer-Price-Indices-and-Inflation-Rates-August-2023.pdf,August,2023,False,False,13,6.7,-0.1,134.15,134.02,32.9094,-0.5,7.5,3.3289,0.7,10.1,2.9914,0.2,2.9,14.6124,0.0,7.5,3.7372,0.4,4.0,2.9116,0.2,2.3,9.6468,0.3,13.1,7.784,-0.2,1.0,1.7219,0.1,5.6,5.562,0.0,2.0,8.0991,0.3,4.7,2.2423,0.4,1.4,4.4532,0.4,7.4,8,2023-08-01
Kenya-Consumer-Price-Indices-and-Inflation-Rates-September-2023.pdf,September,2023,True,False,13,6.8,1.0,134.02,135.32,32.9094,0.7,7.9,3.3289,0.8,10.4,2.9914,0.3,3.1,14.6124,1.4,6.3,3.7372,0.5,4.0,2.9116,0.4,2.5,9.6468,3.5,13.0,7.784,0.2,1.1,1.7219,0.3,5.5,5.562,0.2,2.1,8.0991,0.4,4.8,2.2423,0.0,1.4,4.4532,0.5,7.2,9,2023-09-01
Kenya-Consumer-Price-Indices-and-Inflation-Rates-October-2023.pdf,October,2023,True,False,13,6.9,1.0,135.32,136.71,32.9094,1.3,7.8,3.3289,0.7,9.0,2.9914,0.3,3.2,14.6124,1.9,7.8,3.7372,0.1,3.6,2.9116,0.1,2.5,9.6468,1.5,13.6,7.784,0.1,1.0,1.7219,0.2,5.2,5.562,0.0,2.1,8.0991,0.3,4.5,2.2423,0.0,1.4,4.4532,0.5,6.9,10,2023-10-01
Kenya-Consumer-Price-Indices-and-Inflation-Rates-Highlights-November-2023.pdf,November,2023,False,False,13,6.8,0.23,136.71,137.03,32.9094,0.4,7.6,3.3289,0.2,8.1,2.9914,0.5,3.2,14.6124,0.2,8.5,3.7372,0.3,3.6,2.9116,0.2,2.5,9.6468,-0.1,13.6,7.784,0.0,0.9,1.7219,0.1,5.0,5.562,0.0,1.9,8.0991,0.2,3.8,2.2423,0.1,0.7,4.4532,0.5,6.3,11,2023-11-01
Kenya-Consumer-Price-Indices-and-Inflation-Rates-December-2023.pdf,December,2023,False,False,13,6.6,0.4,137.03,137.55,32.9094,0.3,7.7,3.3289,0.5,8.5,2.9914,0.4,3.0,14.6124,0.4,8.3,3.7372,0.3,3.5,2.9116,0.3,2.8,9.6468,0.5,11.7,7.784,0.3,1.2,1.7219,0.6,5.1,5.562,0.0,1.9,8.0991,0.4,3.8,2.2423,0.0,0.8,4.4532,0.4,6.3,12,2023-12-01
Kenya-Consumer-Price-Indices-and-Inflation-Rates-January-2024.pdf,January,2024,False,False,13,6.9,0.44,137.55,138.15,32.9094,0.4,7.9,3.3289,0.8,8.3,2.9914,0.6,3.5,14.6124,1.6,9.7,3.7372,0.7,4.0,2.9116,0.1,2.4,9.6468,-0.9,10.6,7.784,0.2,1.3,1.7219,1.3,5.4,5.562,1.8,2.8,8.0991,0.6,4.3,2.2423,0.3,1.0,4.4532,0.3,6.1,1,2024-01-01
Kenya-Consumer-Price-Indices-and-Inflation-Rates-February-2024.pdf,February,2024,False,False,13,6.3,0.14,138.15,138.34,32.9094,0.3,6.9,3.3289,1.1,8.7,2.9914,0.1,3.5,14.6124,-0.8,8.4,3.7372,0.3,4.0,2.9116,0.3,2.6,9.6468,0.2,10.8,7.784,0.1,1.3,1.7219,0.3,5.0,5.562,0.0,2.4,8.0991,0.3,4.3,2.2423,0.0,1.0,4.4532,0.6,6.1,2,2024-02-01
Kenya-Consumer-Price-Indices-and-Inflation-Rates-March-2024.pdf,March,2024,False,False,13,5.7,0.23,138.34,138.66,32.9094,0.5,5.8,3.3289,0.4,8.5,2.9914,0.2,3.7,14.6124,0.2,8.0,3.7372,0.4,4.3,2.9116,0.3,2.6,9.6468,-0.6,9.7,7.784,0.0,1.3,1.7219,0.1,4.8,5.562,0.0,2.3,8.0991,0.3,4.5,2.2423,0.0,0.9,4.4532,0.3,6.1,3,2024-03-01
Kenya-Consumer-Price-Indices-and-Inflation-Rates-April-2024.pdf,April,2024,False,False,13,5.0,-0.19,138.66,138.4,32.9094,-0.1,5.6,3.3289,0.2,8.3,2.9914,0.2,3.7,14.6124,-1.3,3.8,3.7372,0.1,4.4,2.9116,0.1,2.7,9.6468,-0.3,9.2,7.784,0.1,1.3,1.7219,0.2,4.8,5.562,0.0,2.3,8.0991,0.2,4.3,2.2423,0.0,0.9,4.4532,0.2,6.0,4,2024-04-01
