date,prev_month_cpi,overall_cpi,monthly_inflation_pct,annual_inflation_pct
2023-07-01,,134.15,,7.3
2023-08-01,134.15,134.02,-0.1,6.7
2023-09-01,134.02,135.32,1.0,6.8
2023-10-01,135.32,136.71,1.0,6.9
2023-11-01,136.71,137.03,0.23,6.8
2023-12-01,137.03,137.55,0.4,6.6
2024-01-01,137.55,138.15,0.44,6.9
2024-02-01,138.15,138.34,0.14,6.3
2024-03-01,138.34,138.66,0.23,5.7
2024-04-01,138.66,138.4,-0.19,5.0
2024-05-01,138.4,139.85,1.0,5.1
2024-06-01,139.64,140.23,0.4,4.6
2024-07-01,140.23,139.94,-0.21,4.3
2024-08-01,139.94,139.87,-0.05,4.4
2024-09-01,139.87,140.13,0.2,3.6
2024-10-01,140.13,140.44,0.2,2.7
2024-11-01,140.44,140.81,0.26,2.8
2024-12-01,140.81,141.66,0.6,3.0
2025-01-01,141.66,142.68,0.72,3.3
2025-02-01,142.68,143.12,0.3,3.5
2025-03-01,143.12,143.69,0.4,3.6
2025-04-01,143.69,144.09,0.3,4.1
2025-05-01,144.09,144.88,0.5,3.8
2025-06-01,144.88,145.58,0.5,3.8
2025-07-01,145.58,145.74,0.1,4.1
2025-08-01,145.74,146.21,0.3,4.5
2025-09-01,146.21,146.56,0.2,4.6
2025-10-01,146.56,146.84,0.2,4.6
2025-11-01,146.84,147.08,0.2,4.5
2025-12-01,147.08,148.02,0.6,4.5
2026-01-01,148.02,148.96,0.6,4.4
2026-02-01,148.96,149.2,0.2,4.3
2026-03-01,149.2,150.0,0.5,4.4
2026-04-01,150.0,152.15,1.4,5.6
2026-05-01,152.15,154.56,1.6,6.7
2026-06-01,154.56,154.91,0.2,6.4
2026-07-01,154.91,155.2,0.2,6.5
2026-08-01,155.2,155.85,0.4,6.6
